bangla_speech,combined,ipa_output
বিড়ালের প্রিয় খাদ্য দুধ,Sylhet বিলাই ওর প্রিয় খানি ওইলো দুধ,ʃɔlhe bɪlɐ͡ɪ̯ oɾ pɾɪʲo kʰɐnɪ o͡ɪ̯lo d̪ud̪ʱ
বিড়াল খুব আরামপ্রিয় প্রাণী,Sylhet বিলাই বাক্কা আরামপ্রিয় প্রাণী ,ʃɔlhe bɪlɐ͡ɪ̯ bɐkkɐ ɐɾɐmpɾɪʲo pɾɐnɪ 
বাংলাদেশের জনসংখ্যার অর্ধেকই নারী,Sylhet বাংলাদেশ ওর মাইনষর আধাউ বেটিয়াইন,ʃɔlhe bɐŋlɐd̪eʃ oɾ mɐ͡ɪ̯nʃɔɾ ɐd̪ʱɐ͡u̯ betɪʲɐ͡ɪ̯n
পলিথিনের ব্যবহার মারাত্মক রোগের সৃষ্টি করতে পারে,Sylhet পলিথিন ওর ব্যবহার মারাত্মক অসুখ ওর সৃষ্টি করতো ফারে,ʃɔlhe pɔlɪt̪ʰɪn oɾ bɛbohɐɾ mɐɾɐt̪t̪ok ɔʃukʰ oɾ sɾɪʃtɪ koɾt̪o pʰɐɾe
ইলিশ আমার প্রিয় মাছ,Sylhet ইলিশ আমার সব তাকি বেশি বালা লাগা মাছ,ʃɔlhe ɪlɪʃ ɐmɐɾ ʃɔb t̪ɐkɪ beʃɪ bɐlɐ lɐgɐ mɐcʰ
পদ্মার ইলিশ খেতে অনেক সুস্বাদু,Sylhet পদ্মার ইলিশ খাইতে বেশেবা মজা,ʃɔlɔt pɔd̪mɐɾ ɪlɪʃ kʰɐ͡ɪ̯t̪e beʃebɐ mɔɟɐ
ব্যস্ত একটি দিন কাটালাম,Sylhet ব্যস্ত একটা দিন কাটাইলাম,ʃɔlhe bɛst̪o ɛktɐ d̪ɪn kɐtɐ͡ɪ̯lɐm
রাতের খাবারটি সেরেই ঘুমিয়ে পড়লাম,Sylhet রাইত ওর খানিটা খাইয়াউ ঘুমাই রইলাম,ʃɔlhe ɾɐ͡ɪ̯t̪o oɾ kʰɐnɪtɐ kʰɐ͡ɪ̯ʲɐ͡u̯ gʱumɐ͡ɪ̯ ɾo͡ɪ̯lɐm
এখন পড়তে বসবো,Sylhet ওখন পড়াত বইমু,ʃɔlhet okʰon pɔɽɐt̪ bo͡ɪ̯mu
সকলের কাছ থেকে বিদায় নিচ্ছি,Sylhet হকল ওর কাছ তনে বিদায় লইয়ার,ʃɔlhe hokol oɾ kɐcʰ t̪ɔne bɪd̪ɐe̯ lɔ͡ɪ̯ʲɐɾ
আবার দেখা হবে,Sylhet আবার দেখা ওইবো নে,ʃɔlhe ɐbɐɾ d̪ɛkʰɐ o͡ɪ̯bo ne
বাংলাদেশে বিভিন্ন দুর্যোগপ্রবণ অঞ্চল রয়েছে,Sylhet বাংলাদেশ ও বাক্কা দু্র্যোগ ওয়ার লাকান অঞ্চল আছে,ʃɔlhe bɐŋlɐd̪eʃ o bɐkkɐ d̪uɾɟog oʷɐɾ lɐkɐn ɔncɔl ɐcʰe
বিষয়টি আসলেই দুশ্চিন্তার,Sylhet জিনিসটা হাছাউ চিন্তার,ʃɔlhe ɟɪnɪʃtɐ hɐcʰɐ͡u̯ cɪnt̪ɐɾ
পড়তে ইচ্ছা করতেসে না আজকে,Sylhet পড়ার ইচ্ছাউ করের না আইজ,ʃɔlhe pɔɽɐɾ ɪccʰɐ͡u̯ kɔɾeɾ nɐ ɐ͡ɪ̯ɟ
তোমার প্রিয় বিষয় কি? ,Sylhet তুমিতাইন ওর কোন বিষয় বেশি বালা লাগে?,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n oɾ kon bɪʃɔe̯ beʃɪ bɐlɐ lɐge?
গণিত তোমার কেমন লাগে? ,Sylhet অংক তুমিতাইন ওর কিলা লাগে তে?,ʃɔlhe ɔŋk t̪umɪt̪ɐ͡ɪ̯n oɾ kɪlɐ lɐge t̪e?
আমি পড়াশোনায় কাঁচা ,Sylhet আমি পড়াত বালা নায়,ʃɔlhe ɐmɪ pɔɽɐt̪ bɐlɐ nɐe̯
আমাকে সবাই এক নামে চিনে ,Sylhet আমারে সবে এক নামেউ চিনে,ʃɔlhe ɐmɐɾe ʃɔbe ɛk nɐme͡u̯ cɪne
তুমি কি গিয়েছিলে?,Sylhet তুমিতাইন কিতা গেছলায় নি?,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n kɪt̪ɐ gecʰolɐe̯ nɪ?
তোমাার প্রিয় সবজি কি?,Sylhet তুমিতাইন ওর কোন সবজি বেশি বালা লাগে তে?,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n oɾ kon ʃɔbɟɪ beʃɪ bɐlɐ lɐge t̪e?
আমার প্রিয় সবজি টোমেটো ,Sylhet আমার টমেটো বেশি বালা লাগে,ʃɔlhe ɐmɐɾ tɔmeto beʃɪ bɐlɐ lɐge
চলো একসাথে গান গাই ,Sylhet চলো তে একলগে গান গাই,ʃɔlo t̪e ɛklgk gɐn gɐ͡ɪ̯
চলো একসাথে মাছ ধরি ,Sylhet চলো তে একলগে মাছ ধরি,ʃɔlo t̪e ɛklgk mɐcʰ d̪ʱoɾɪ
আপনি আপনার পরিবার সহ আমাদের বাসায় আসবেন ,Sylhet আফনে আফনার পরিবাররে লইয়া আমার বাসাত আইন যেন, sɪhet ɐcʰone ɐpʰnɐɾ poɾɪbɐɾɾe lɔ͡ɪ̯ʲɐ ɐmɐɾ bɐʃɐt̪ ɐ͡ɪ̯n ɟeno
তুমি কি আমাকে আগে দেখেছো ?,Sylhet তুমিতাইন কিতা আমারে আগে দেখছো নি?,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n kɪt̪ɐ ɐmɐɾe ɐge d̪ekʰcʰo nɪ?
আমার সাথে নাচবা? ,Sylhet আমার লগে নাচবায় নি?,sɪlhe ɐmɐɾ lɔge nɐcbɐe̯ nɪ?
তোমার প্রিয় গান কোনটি ?,Sylhet তুমিতাইন ওর কোন গান বেশি বালা লাগে?,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n oɾ kon gɐn beʃɪ bɐlɐ lɐge?
তোমার প্রিয় গায়ক কে?,Sylhet তুমিতাইন ওর কোন গায়করে বেশি বালা লাগে?,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n oɾ kon gɐʲkoɾe beʃɪ bɐlɐ lɐge?
কালকে ঘুড়ি উরাবো ,Sylhet কাইল গুড্ডি উড়াইমু নে,ʃɔlhe kɐ͡ɪ̯l guddɪ uɽɐ͡ɪ̯mu ne
তুমি কি আমায় ভালবাসো ?,Sylhet তুমিতাইন কিতা আমারে বালা ফাও নি?,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n kɪt̪ɐ ɐmɐɾe bɐlɐ pʰɐ͡o̯ nɪ?
চলো ঘুড়ি উরাই ,Sylhet চলো তে গুড্ডি উড়াই,ʃɔlo t̪e guddɪ uɽɐ͡ɪ̯
আমি ছোটবেলায় অনেক মেধাবী ছিলাম ,Sylhet আমি ছোটকাল তনেউ মেধাবী আছলাম,ʃɔlhe ɐmɪ cʰotokɐl t̪ɔne͡u̯ med̪ʱɐbɪ ɐcʰlɐm
আমার নৌকায় ঘুরতে অনেক ভালো লাগে,Sylhet আমার নৌকা দিয়া ঘুরতে যে বালা লাগে,ʃɔlhe ɐmɐɾ no͡u̯kɐ d̪ɪʲɐ gʱuɾt̪e ɟe bɐlɐ lɐge
জেলেরা মাছ ধরছে ,Sylhet জেলে ওকলতে মাছ মারছে,ʃɔlhe ɟele okolt̪e mɐcʰ mɐɾcʰe
আমি আম খাবো ,Sylhet আমি আম খাইতাম,ʃɔlhe ɐmɪ ɐm kʰɐ͡ɪ̯t̪ɐm
আম আমার প্রিয় ফল ,Sylhet আম ফলটা আমার সব তাকি বেশি বালা লাগে,ʃɔlhe ɐm pʰɔltɐ ɐmɐɾ ʃɔb t̪ɐkɪ beʃɪ bɐlɐ lɐge
আজকে তোমার ভাইকে দেখলাম ,Sylhet আইজ তুমিতাইন ওর ভাইরে দেখলাম,ʃɔlhe ɐ͡ɪ̯ɟ t̪umɪt̪ɐ͡ɪ̯n oɾ bʱɐ͡ɪ̯ɾe d̪ekʰlɐm
তোমার গানের গলা অনেক ভালো ,Sylhet তুমিতাইন ওর গান ওর গলা খুব বালা,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n oɾ gɐn oɾ gɔlɐ kʰub bɐlɐ
আমি তোমার হাসির প্রেমে পড়েছি,Sylhet তুমিতাইন ওর হাসির প্রেমও পড়ি গেছি আমি,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n oɾ hɐʃɪɾ pɾemo poɽɪ gecʰɪ ɐmɪ
তোমার পরিবারে কে কে আছে? ,Sylhet তুমিতাইন ওর বাসাত কে কে আছোইন?,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n oɾ bɐʃɐt̪ ke ke ɐcʰo͡ɪ̯n?
আমি তোমার বাদামী চোখ জোড়া ভালোবাসি,Sylhet তুমিতাইন ওর বাদামি রঙ ওর চউখ দুইটা আমার খুব বালা লাগসে,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n oɾ bɐd̪ɐmɪ ɾɔŋ oɾ cɔ͡u̯kʰ d̪u͡ɪ̯tɐ ɐmɐɾ kʰub bɐlɐ lɐgʃe
তুমি বিয়ে করবে কতো বছর বয়সে ? ,Sylhet তুমিতাইন কত বয়সও বিয়া করবায়,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n kɔt̪o bɔʲoʃo bɪʲɐ koɾbɐe̯
ক্রিকেট খেলা তোমার কেমন লাগে? ,Sylhet তুমিতাইন ওর ক্রিকেট খেলা কিলা লাগে?,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n oɾ kɾɪket kʰelɐ kɪlɐ lɐge?
আমার একদমই ভালো লাগে না ,Sylhet আমার একবারেউ বালা লাগের না,ʃɔlhe ɐmɐɾ ɛkbɐɾe͡u̯ bɐlɐ lɐgeɾ nɐ
আমার অনেক ভালো লাগে ,Sylhet আমার খুব বালা লাগে,ʃɔlho ɐmɐɾ kʰub bɐlɐ lɐge
তোমার বাবা কি করেন? ,Sylhet তুমিতাইন ওর বাবায় কিতা করোইন?,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n oɾ bɐbɐe̯ kɪt̪ɐ koɾo͡ɪ̯n?
তোমার ভাই কোথায় চাকরি করেন? ,Sylhet তুমিতাইন ওর ভাইয়ে কিতাত চাকরি করোইন?,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n oɾ bʱɐ͡ɪ̯ʲe kɪt̪ɐt̪ cɐkɾɪ koɾo͡ɪ̯n?
আমি মুরগির মাংস বেশি পছন্দ করি ,Sylhet আমার মোরগ ওর মাংস বেশি বালা লাগে,ʃɔlhe ɐmɐɾ moɾog oɾ mɐŋʃo beʃɪ bɐlɐ lɐge
তুমি কি খেতে পছন্দ করো ?,Sylhet তুমিতাইন কিতা খাইতে বালা ফাও?,ʃɔlho t̪umɪt̪ɐ͡ɪ̯n kɪt̪ɐ kʰɐ͡ɪ̯t̪e bɐlɐ pʰɐ͡o̯?
আমি চিংড়ী মাছ খেতে পছন্দ করি ,Sylhet আমার ইছা মাছ খাইতে বেশি বালা লাগে,ʃɔlhe ɐmɐɾ ɪcʰɐ mɐcʰ kʰɐ͡ɪ̯t̪e beʃɪ bɐlɐ lɐge
আমি তোমার সাথে রাতে সাগর পাড়ে দাঁড়ায় থাকতে চাই ,Sylhet তুমিতাইন ওর লগে আমি রাত্রে সমুদ্রর পাড়-ও উবাই থাকতাম চাই, ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n oɾ lɔge ɐmɪ ɾɐt̪ɾe ʃomud̪ɾoɾ pɐɽ-o ubɐ͡ɪ̯ t̪ʰɐkt̪ɐm cɐ͡ɪ̯
আজকে তোমায় দেখতে আসবে? ,Sylhet আইজ কিতা তোমারে দেখাত আইবো নি?,ʃɔlhe ɐ͡ɪ̯ɟ kɪt̪ɐ t̪omɐɾe d̪ɛkʰɐt̪ ɐ͡ɪ̯bo nɪ?
না করে দিও ছেলে পক্ষকে ,Sylhet ছেলে পক্ষর হেরারে না করি দিও,ʃɔlhe cʰele pokkʰɔɾ heɾɐɾe nɐ koɾɪ d̪ɪ͡o̯
আমি পারবো না না করতে ,Sylhet আমি না করতে ফারতাম নায়,ʃɔlhe ɐmɪ nɐ koɾt̪e pʰɐɾt̪ɐm nɐe̯
তোমার মনে চাইলে গিয়ে না করো ,Sylhet তুমিতাইন ওর মন চাইলে গিয়া না করো,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n oɾ mon cɐ͡ɪ̯le gɪʲɐ nɐ koɾo
আমাকেে একটা গান শুনাবা? ,Sylhet আমারে একখান গান হুনাইবায় নি?,sɪhet ɐmɐɾe ɛkkʰɐn gɐn hunɐ͡ɪ̯bɐe̯ nɪ?
তুমি কি গল্প লেখো ?,Sylhet তুমিতাইন কিতা গল্প লেখো নি?,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n kɪt̪ɐ gɔlpo lekʰo nɪ?
চা অথবা কফি কোনটা বেশি পছন্দ ?,Sylhet চা নায় কফি কোনটা বেশি বালা লাগে?,ʃɔlhe cɐ nɐe̯ kopʰɪ kontɐ beʃɪ bɐlɐ lɐge?
আমার কফি বেশি পছন্দ ,Sylhet আমার কফি বেশি বালা লাগে,ʃɔlho ɐmɐɾ kopʰɪ beʃɪ bɐlɐ lɐge
আমি তোমায় ভালবাসি ,Sylhet আমি তোমারে বালা ফাই,ʃɔlhet ɐmɪ t̪omɐɾe bɐlɐ pʰɐ͡ɪ̯
বৃষ্টির দিনে রিক্সাতে ঘুরতে ভালো লাগে ,Sylhet বৃষ্টির দিনও রিক্সাত ঘুরতে যে বালা লাগে,ʃɔlɪ bɾɪʃtɪɾ d̪ɪno ɾɪkʃɐt̪o gʱuɾt̪e ɟe bɐlɐ lɐge
বৃষ্টির দিনে গরম গরম খিচুড়ি আর গরু মাংস খেতে ভালো লাগে,Sylhet বৃষ্টির দিনও গরমা গরম খিচুড়ি আর গরুর গোস্ত খাইতে বালা লাগে, ʃɔlhe bɾɪʃtɪɾ d̪ɪno gɔɾmɐ gɔɾom kʰɪcuɽɪ ɐɾ goɾuɾ gost̪o kʰɐ͡ɪ̯t̪e bɐlɐ lɐge
বৃষ্টির দিনে  চা খেতে ভালো লাগে,Sylhet বৃষ্টির দিনও চা খাইতে বালা লাগে,ʃɔlɪ bɾɪʃtɪɾ d̪ɪno cɐ kʰɐ͡ɪ̯t̪e bɐlɐ lɐge
আমি ছবি তুলতে পছন্দ করি ,Sylhet আমি ছবি তুলতে বালা ফাই,ʃɔlhet ɐmɪ cʰobɪ t̪ult̪e bɐlɐ pʰɐ͡ɪ̯
আমাকে একটি বই উপহার দিও ,Sylhet আমারে একগু বই উপহার দিও তে,ʃɔlhe ɐmɐɾe ɛkgu bo͡ɪ̯ upohɐɾ d̪ɪ͡o̯ t̪e
মানুষ আসলে বড়ই অদ্ভুত,Sylhet মানুষ আসলেউ বউত অদ্ভুত ,ʃɔlhe mɐnuʃ ɐʃole͡u̯ bɔ͡u̯t̪o ɔd̪vut̪ 
আজকে আমি ছাতা আনতে ভুলে গেছি ,Sylhet আইজ আমি ছাত্তি আনতে বুলি গেছি,ʃɔlhe ɐ͡ɪ̯ɟ ɐmɪ cʰɐt̪t̪ɪ ɐnt̪e bulɪ gecʰɪ
রাস্তায় আজকে অনেক মানুষ ,Sylhet রাস্তাত আইজ বাক্কা মানুষ,ʃɔlhe ɾɐst̪ɐt̪ ɐ͡ɪ̯ɟ bɐkkɐ mɐnuʃ
আমার কালো জামা নাই ,Sylhet আমার কালা রঙ ওর জামা নাই,ʃɔlhe ɐmɐɾ kɐlɐ ɾɔŋ oɾ ɟɐmɐ nɐ͡ɪ̯
আমার কালো জামা আছে,Sylhet আমার কালা রঙ ওর জামা আছে,ʃɔlhe ɐmɐɾ kɐlɐ ɾɔŋ oɾ ɟɐmɐ ɐcʰe
আমি কী বেশি বিরক্ত করি?,Sylhet আমি কিতা বেশি জ্বালাই নি?,ʃɔlhe ɐmɪ kɪt̪ɐ beʃɪ ɟɐlɐ͡ɪ̯ nɪ?
আমাকেতো আর ভালো লাগবে না,Sylhet আমারে তো আর বালা লাগতো নায়,ʃɔlhe ɐmɐɾe t̪o ɐɾ bɐlɐ lɐgt̪o nɐe̯
আমার সাথে তোমার কোনো সম্পর্ক নাই,Sylhet আমার লগে তুমিতাইন ওর কোন মাত নাই,ʃɔlhe ɐmɐɾ lɔge t̪umɪt̪ɐ͡ɪ̯n oɾ kon mɐt̪ nɐ͡ɪ̯
আমি তোমাকে চিনি না,Sylhet তুমিতাইনরে আমি চিনি না,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯nɾe ɐmɪ cɪnɪ nɐ
তুমি আমার প্রথম বন্ধু,Sylhet তুমিতাইন আমার ফয়লা বন্ধু,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n ɐmɐɾ pʰɔʲlɐ bond̪ʱu
আজকের আবহাওয়টা অনেক সুন্দর,Sylhet আইজ ওর আবহাওয়াটা যে সুন্দর,ʃɔlhe ɐ͡ɪ̯ɟ oɾ ɐbohɐ͡o̯ʷɐtɐ ɟe ʃund̪ɔɾ
উনি ভালো মনের মানুষ,Sylhet তাইন বালা মিন ওর মানুষ ,ʃɔlhe t̪ɐ͡ɪ̯n bɐlɐ mɪn oɾ mɐnuʃ 
আমরা এতটাও ভালো না,Sylhet আমরা ওতোও বালা নায়,ʃɔlhe ɐmɾɐ ot̪o͡o̯ bɐlɐ nɐe̯
আমার টাকা নাই,Sylhet আমার টেখা নাই,ʃɔlhe ɐmɐɾ tekʰɐ nɐ͡ɪ̯
শীতের সকাল অনেক সুন্দর,Sylhet শীত ওর সকাল খুব সুন্দর,ʃɔlhet ʃɪt̪ oɾ ʃɔkɐl kʰub ʃund̪ɔɾ
আমার মা আমাকে ভালবাসে,Sylhet আমার মা'য় আমারে বালা ফাইন,sɪhet ɐmɐɾ mɐ'e̯ ɐmɐɾe bɐlɐ pʰɐ͡ɪ̯n
আমার বন্ধুর বিয়ে আজ,Sylhet আইজ আমার বন্ধুর বিয়া,ʃɔlhe ɐ͡ɪ̯ɟ ɐmɐɾ bond̪ʱuɾ bɪʲɐ
অল্প সময় ছিলো সে তাতেই মায়ায় পরে আছি,Sylhet বাক্কা কম সময় ওউ তার মায়াত পড়ি গেছি,ʃɔlhe bɐkkɐ kɔm ʃɔmɔe̯ o͡u̯ t̪ɐɾ mɐʲɐt̪ poɽɪ gecʰɪ
বিয়ের পর তুমি বদলে গেছো,Sylhet বিয়ার বাদে তুমিতাইন বদলি গেছো,ʃɔlhe bɪʲɐɾ bɐd̪e t̪umɪt̪ɐ͡ɪ̯n bod̪olɪ gecʰo
কবিতা পড়তে আমার ভালো লাগে,Sylhet কবিতা পড়তে আমার বালাউ লাগে,ʃɔlhe kobɪt̪ɐ poɽt̪e ɐmɐɾ bɐlɐ͡u̯ lɐge
মেয়ে মানুষ বড়ই অদ্ভুত,Sylhet ফুরিন মানুষ হাছাউ কিলা জানি,ʃɔlhe pʰuɾɪn mɐnuʃ hɐcʰɐ͡u̯ kɪlɐ ɟɐnɪ
আমি কী অনেক মোটা ? ,Sylhet আমি কিতা খেচা মোটা নি?,ʃɔlho ɐmɪ kɪt̪ɐ kʰecɐ motɐ nɪ?
হ্যাঁ তুমি অনেক মোটা ,Sylhet ওয়ও তুমিতাইন বাক্কা মোটা,ʃɔlhe oʷo t̪umɪt̪ɐ͡ɪ̯n bɐkkɐ motɐ
তুমি কি দেখছো ?,Sylhet তুমিতাইন কিতা দেখছো নি?,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n kɪt̪ɐ d̪ekʰcʰo nɪ?
তোমার দিকে তাকিয়ে আছি ,Sylhet তুমিতাইন ওর দিকে চাই রইছি,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n oɾ d̪ɪke cɐ͡ɪ̯ ɾo͡ɪ̯cʰɪ
তোমার সৌন্দর্যোতা দেখছি ,Sylhet তুমিতাইন যে সুন্দর দেখিয়ার,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n ɟe ʃund̪ɔɾ d̪ekʰɪʲɐɾ
পানির অপর নাম জীবন,Sylhet পানির আরেক নাম জীবন,ʃɔlɪ pɐnɪɾ ɐɾek nɐm ɟɪbɔn
আজ অনেক মজা হল,Sylhet আইজ বাক্কা মজা ওইছে,ʃɔlhe ɐ͡ɪ̯ɟ bɐkkɐ mɔɟɐ o͡ɪ̯cʰe
আমার বিয়েতে দাওয়াত রইলো ,Sylhet আমার বিয়াত দাওয়াত রইলো ,ʃɔlhe ɐmɐɾ bɪʲɐt̪ d̪ɐ͡o̯ʲɐt̪ ɾo͡ɪ̯lo 
সবাই হারিয়ে যায় ,Sylhet হকল ওউ হারাই যায়,ʃɔlhe hokol o͡u̯ hɐɾɐ͡ɪ̯ ɟɐe̯
আমার কোনো বন্ধু নেই ,Sylhet আমার কোন বন্ধু নাই,ʃɔlhe ɐmɐɾ kon bond̪ʱu nɐ͡ɪ̯
এই পৃথিবীতে আমি বড্ড একা ,Sylhet ওউ দুউন্নাইত আমি ফুরাউ এখলা,ʃɔlhe o͡u̯ d̪u͡u̯nnɐ͡ɪ̯t̪o ɐmɪ pʰuɾɐ͡u̯ ekʰlɐ
তুমি রান্না করতে পারো ?,Sylhet তুমিতাইন কিতা রান্তায় ফারো নি?,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n kɪt̪ɐ ɾɐnt̪ɐe̯ pʰɐɾo nɪ?
তোমার হাতের লেখা অনেক সুন্দর ,Sylhet তুমিতাইন ওর হাত ওর লেখা যে সুন্দর,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n oɾ hɐt̪ oɾ lekʰɐ ɟe ʃund̪ɔɾ
আমি গল্পের বই কিনবো ,Sylhet আমি গল্প'র বই কিনমু,ʃɔlhet ɐmɪ gɔlpo'ɾo bo͡ɪ̯ kɪnmu
আমি আজকে ঢাকায় যাবো ,Sylhet আমি আইজ ঢাকাত যাইমু,ʃɔlhe ɐmɪ ɐ͡ɪ̯ɟ dʱɐkɐt̪ ɟɐ͡ɪ̯mu
ঢাকায় আমার চাকরি হয়েছে ,Sylhet ঢাকাত আমার চাকরি ওইছে,ʃɔlhe dʱɐkɐt̪ ɐmɐɾ cɐkɾɪ o͡ɪ̯cʰe
চাকরি করতে আর ভালো লাগে না,Sylhet চাকরি করতে আর বালা লাগরো না,ʃɔlhe cɐkɾɪ koɾt̪e ɐɾ bɐlɐ lɐgɾo nɐ
মা আমার অনেক যত্ন নেয় ,Sylhet মা'য় আমার খুব যত্ন নেইন,sɪlhe mɐ'e̯ ɐmɐɾ kʰub ɟɔt̪no ne͡ɪ̯n
আমার মায়ের রান্না অনেক মজার,Sylhet আমার মা'র গাত ওর রান্দা খুব মজার,sɪlhe ɐmɐɾ mɐ'ɾo gɐt̪ oɾ ɾɐnd̪ɐ kʰub mɔɟɐɾ
বিয়েতে আমার মত নাই ,Sylhet বিয়াত আমার লাকান নাই,ʃɔlhe bɪʲɐt̪ ɐmɐɾ lɐkɐn nɐ͡ɪ̯
পাহাড়ের চূড়ায় উঠতে চাই ,Sylhet পাহাড় ওর মাথাত উঠতাম চাই,ʃɔlhe pɐhɐɽ oɾ mɐt̪ʰɐt̪ utʰt̪ɐm cɐ͡ɪ̯
এক পাশে সাগর এক পাশে বালি ,Sylhet এক বায়দি সমুদ্র আরেক বায়দি বালু,ʃɔlhet ɛk bɐʲd̪ɪ ʃomud̪ɾo ɐɾek bɐʲd̪ɪ bɐlu
তোমার ছেলে অনেক দুষ্টু ,Sylhet তুমিতাইন ওর ফুয়াগু যে দুষ্টা,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n oɾ pʰuʲɐgu ɟe d̪uʃtɐ
কালকে থেকে পড়তে বসবো ,Sylhet কাইল তনে পড়াত বইমু,ʃɔlhe kɐ͡ɪ̯l t̪ɔne pɔɽɐt̪ bo͡ɪ̯mu
আমার ঘড়ীটা খুজে পাচ্ছি না ,Sylhet আমার ঘড়িগুতা খুজিয়া পাইয়ার না,ʃɔlhe ɐmɐɾ gʱoɽɪgut̪ɐ kʰuɟɪʲɐ pɐ͡ɪ̯ʲɐɾ nɐ
মানুুষ অনেক স্বার্থপর হয় ,Sylhet মানুষ যে স্বার্থপর ওয়,ʃɔlhe mɐnuʃ ɟe ʃɐɾt̪ʰopɔɾ oe̯
কিন্তু কিছু মানুষ অনেক ভালো,Sylhet কিন্তু কিছু মানুষ খুব বালা,ʃɔlɔt kɪnt̪u kɪcʰu mɐnuʃ kʰub bɐlɐ
আমি তাদেরই একজন হতে চাই ,Sylhet আমি তারার ওউ একজন ওইতাম চাই,ʃɔlhe ɐmɪ t̪ɐɾɐɾ o͡u̯ ɛkɟon o͡ɪ̯t̪ɐm cɐ͡ɪ̯
তোমার পরিবারে কি আমায় মেনে নিবে? ,Sylhet তুমিতাইন ওর বাসাত কিতা আমারে মানিয়া লইবো নি?, ʃɔlho t̪umɪt̪ɐ͡ɪ̯n oɾ bɐʃɐt̪ kɪt̪ɐ ɐmɐɾe mɐnɪʲɐ lɔ͡ɪ̯bo nɪ?
তুমি অনেক যত্নশীল ,Sylhet তুমিতাইন যে যত্ন লও,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n ɟe ɟɔt̪no lɔ͡o̯
তোমাদের পরীক্ষা কবে ?,Sylhet তোমরার পরীক্ষা কবে? ,ʃɔlhe t̪omɾɐɾ poɾɪkkʰɐ kɔbe? 
খেলার মাঠে আজকে অনেক মানুষ ,Sylhet খেলার মাঠও আইজ বাক্কা মানুষ,ʃɔlhe kʰelɐɾ mɐtʰo ɐ͡ɪ̯ɟ bɐkkɐ mɐnuʃ
তুমি ভালো আছো?,Sylhet তুমিতাইন বালা নি?,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n bɐlɐ nɪ?
আমি ভালো নেই ,Sylhet আমি বালা নায়,ʃɔlhe ɐmɪ bɐlɐ nɐe̯
তোমাকে ছাড়া আমি ভালো নেই,Sylhet তুমিতাইনরে ছাড়া আমি বালা নাই,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯nɾe cʰɐɽɐ ɐmɪ bɐlɐ nɐ͡ɪ̯
বিপদ বলে কয়ে আসে না,Sylhet বিফদ কইয়া আয় না,ʃɔlhe bɪpʰɔd̪ ko͡ɪ̯ʲɐ ɐe̯ nɐ
ছেলেটির রাগ অনেক বেশী  ,Sylhet ফুয়াগুর যে রাগ,ʃɔlho pʰuʲɐguɾ ɟe ɾɐg
আমি একজন খারাপ মানুষ ,Sylhet আমি একটা বাদ মানুষ,ʃɔlhe ɐmɪ ɛktɐ bɐd̪ mɐnuʃ
তুমি কি চাও? ,Sylhet তুমিতাইন কিতা চাও তে?,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n kɪt̪ɐ cɐ͡o̯ t̪e?
তুমি কি চাও আমি চলে যাই?,Sylhet তুমিতাইন কিতা চাও নি আমি যাই গি?,ʃɔlhe t̪umɪt̪ɐ͡ɪ̯n kɪt̪ɐ cɐ͡o̯ nɪ ɐmɪ ɟɐ͡ɪ̯ gɪ?
আমি চাই তুমি সবসময় আমার সাথে থাকো,Sylhet আমি চাই তুমিতাইন হকল সময় আমার লগে থাকো,ʃɔlhe ɐmɪ cɐ͡ɪ̯ t̪umɪt̪ɐ͡ɪ̯n hokol ʃɔmɔe̯ ɐmɐɾ lɔge t̪ʰɐko
