bangla_speech_word,bangla_speech_ipa,barishal_word,barishal_ipa,sylhet_word,sylhet_ipa,mymensingh_word,mymensingh_ipa,noakhali_word,noakhali_ipa,chittagong_word,chittagong_ipa
বছর,bɔt͡ɕʰɔrɔ,বছর,bɔcʰoɾ,বছর,bɔcʰoɾ,বছর,bɔcʰoɾ,দুই,d̪u͡ɪ̯,আগে,ɐge
বছরই,bɔt͡ɕʰɔri,বচ্ছরই,bɔccʰoɾɪ,মিলে,mɪle,বছরই,bɔcʰoɾɪ,সারাবছরই,ʃɐɾɐbcʰoɾɪ,বছরত,bɔcʰoɾɔt̪o
বছরে,bɔt͡ɕʰɔre,বছর,bɔcʰoɾ,বছর,bɔcʰoɾ,বছরে,bɔcʰoɾe,আইজ,ɐ͡ɪ̯ɟ,লতি,lot̪ɪ
বছরের,bɔt͡ɕʰɔrer,বছরের,bɔcʰoɾeɾ,বছরর,bɔcʰoɾɔɾ,বছরের,bɔcʰoɾeɾ,বছরের,bɔcʰoɾeɾ,বচরর,bɔcɾɔɾ
বছরের,bɔt͡ɕʰɔrerɔ,বছরের,bɔcʰoɾeɾ,বছরের,bɔcʰoɾeɾ,বছরের,bɔcʰoɾeɾ,বছরে,bɔcʰoɾe,বছরর,bɔcʰoɾɔɾ
বড়,bɔɽɔ,বড়,bɔɽo,ভালোবাসা,bʱɐlobɐʃɐ,ছাড়া,cʰɐɽ,রে,kɐɟeɾ,চারা,cɐɾɐ
বড়ই,bɔɽi,একছের,ɛkcʰeɾ,হাছাউ,hɐcʰɐ͡u̯,বড়ই,bɔɽo͡ɪ̯,বহুত,bohut̪,বর,bɔɾ
বড়ো,bɔɽo,বড়,bɔɽo,বড়ো,bɔɽo,বড়,bɔɽo,বড়ো,bɔɽo,বড়,bɔɽo
বড্ড,bɔddɔ,মুই,mu͡ɪ̯,ফুরাউ,pʰuɾɐ͡u̯,বড্ড,bɔdd,বড্ড,bɔdd,খুব,xub
বদমেজাজি,bɔd̪ɔmed͡ʑad͡ʑi,চ্যাতা,cɛt̪ɐ,রাগি,ɾɐgɪ,বদমেজাজি,bɔd̪meɟɐɟɪ,বদমেজাজি,bɔd̪meɟɐɟɪ,একজন,ɛkzon
বদলালে,bɔd̪ɔl̪al̪e,পালডাইলে,pɐldɐ͡ɪ̯le,ওর,oɾ,বদলাইলে,bɔd̪lɐ͡ɪ̯le,বদলাইলে,bɔd̪lɐ͡ɪ̯le,বদলাই,bɔd̪lɐ͡ɪ̯
বদলে,bɔd̪ɔl̪e,পাল্ডাইয়া,pɐldɐ͡ɪ̯ʲɐ,বদলি,bod̪olɪ,বদলায়া,bɔd̪lɐʲɐ,বদলি,bod̪olɪ,ফাল্টি,fɐltɪ
বনের,bɔn̪erɔ,জঙ্গলের,ɟɔŋgoleɾ,বন,bɔno,বনের,bɔneɾ,বনের,bɔneɾ,জঁঅলঅর,zɔ̃ɔlɔɾ
বন্ধ,bɔn̪d̪̤ɔ,বন্ধ,bond̪ʱo,বন,bɔno,বন্ধ,bond̪ʱo,ভন্দ,bʱɔnk,বন্দ,bonk
বন্ধু,bɔn̪d̪̤u,দোস্ত,d̪ost̪o,বন্ধু,bond̪ʱu,বন্ধু,bond̪ʱu,বন্ধু,bond̪ʱu,বন্দু,bond̪u
বন্ধুকে,bɔn̪d̪̤uke,দোস্তরে,d̪ost̪ɔɾe,বন্ধুকে,bond̪ʱuke,বন্ধুরে,bond̪ʱuɾe,ওগগা,oggɐ,বন্ধুরে,bond̪ʱuɾe
বন্ধুত্ব,bɔn̪d̪̤ut̪bɔ,বন্ধুত্ব,bond̪ʱut̪t̪o,বন্ধুত্ব,bond̪ʱut̪t̪o,বন্ধুত্ব,bond̪ʱut̪t̪o,বন্ধুত্ব,bond̪ʱut̪t̪o,বন্ধুত্ব,bond̪ʱut̪t̪o
বন্ধুদের,bɔn̪d̪̤ud̪erɔ,দোস্তগো,d̪ost̪ogo,বন্ধুদের,bond̪ʱud̪eɾ,বন্ধুরার,bond̪ʱuɾɐɾ,বন্ধুগো,bond̪ʱugo,বন্ধুর,bond̪ʱuɾ
বন্ধুর,bɔn̪d̪̤urɔ,দোস্তের,d̪ost̪eɾ,বন্ধুর,bond̪ʱuɾ,বন্ধুর,bond̪ʱuɾ,বন্ধুর,bond̪ʱuɾ,বন্দুর,lɐ͡ɪ̯gge
বন্ধুরা,bɔn̪d̪̤ura,দোস্তরা,d̪ost̪ɔɾɐ,বন্ধুরা,bond̪ʱuɾɐ,বন্ধুরা,bond̪ʱuɾɐ,বন্ধুরা,bond̪ʱuɾɐ,বন্দুওক্কল,bond̪u͡o̯kkol
বয়স,be̯ɔs̪ɔ,বয়স,bɔʲoʃ,বয়স,bɔʲoʃ,বয়স,bɔʲoʃ,বয়স,bɔʲoʃ,বছরর,bɔcʰoɾɔɾ
বয়সে,be̯ɔs̪e,বয়সে,bɔʲoʃe,বয়সে,bɔʲoʃe,বয়সে,bɔʲoʃe,বয়সে,bɔʲoʃe,ছোড,cʰod
বর,bɔrɔ,জামাই,ɟɐmɐ͡ɪ̯,জামাই,ɟɐmɐ͡ɪ̯,বর,bɔɾ,বর,bɔɾ,বর,bɔɾ
বরং,bɔrɔŋ,নিজেই,nɪɟe͡ɪ̯,বরঞ্চ,bɔɾonc,বরং,bɔɾoŋ,পারো,pɐɾo,বরং,bɔɾoŋ
বরিশালে,bɔriɕal̪e,বরিশাল,boɾɪʃɐl,বরিশাল,boɾɪʃɐl,বরিশালে,t̪ʰɐhe,বরিশালে,t̪ʰɐe̯,বরিশাল,boɾɪʃɐl
বরিশালের,bɔriɕal̪erɔ,বরিশালের,boɾɪʃɐleɾ,বরিশালর,boɾɪʃɐlɔɾ,বরিশালের,boɾɪʃɐleɾ,বরিশালের,boɾɪʃɐleɾ,বরিশালর,boɾɪʃɐlɔɾ
বরের,bɔrerɔ,জামাইর,ɟɐmɐ͡ɪ̯ɾ,জামাইর,ɟɐmɐ͡ɪ̯ɾ,বরের,bɔɾeɾ,বরের,bɔɾeɾ,বাড়ি,bɐɽɪ
বর্তমান,bɔrt̪ɔman̪ɔ,বর্তমান,bɔɾt̪omɐn,ওর,oɾ,বর্তমান,bɔɾt̪omɐn,এর,eɾ,বর্তমান,bɔɾt̪omɐn
বর্তমানে,bɔrt̪ɔman̪e,এই,e͡ɪ̯,এখনকু,ɛkʰonku,বর্তমানে,pɾem,এ,e,বর্তমান,bɔɾt̪omɐn
বর্ষা,bɔrʂa,বইশ্যা,bo͡ɪ̯ʃʃɐ,মেগ,meg,বর্ষা,bɔɾʃɐ,বর্ষার,bɔɾʃɐɾ,বর্ষা,bɔɾʃɐ
বল,bɔl̪ɔ,বল,bɔl,বল,bɔl,বল,bɔl,বল,bɔl,বল,bɔl
বলছি,bɔl̪ɔt͡ɕʰi,কইছি,ko͡ɪ̯cʰɪ,কইছি,ko͡ɪ̯cʰɪ,কইসি,eɾokom,বলছি,eɾokom,হয়্যি,hokɪ
বলছিল,bɔl̪ɔt͡ɕʰil̪ɔ,কইছিলো,ko͡ɪ̯cʰɪlo,কইছলা,ko͡ɪ̯cʰɔlɐ,কইসিল,ko͡ɪ̯sɪlo,কইছিলো,ko͡ɪ̯cʰɪlo,হইলো,ho͡ɪ̯lo
বলছিলো,bɔl̪ɔt͡ɕʰil̪o,কইছেলে,ko͡ɪ̯cʰele,কইছিল,ko͡ɪ̯cʰɪlo,কইসিলো,ko͡ɪ̯sɪlo,কইছিলো,ko͡ɪ̯cʰɪlo,হইয়েদে,ho͡ɪ̯ʲed̪e
বলছে,bɔl̪ɔt͡ɕʰe,কইতেয়াছে,ko͡ɪ̯t̪eʲɐcʰe,মাতের,mɐt̪eɾ,কইতাসে,ko͡ɪ̯t̪ɐʃe,কইতেছে,ko͡ɪ̯t̪ecʰe,হতা,hɔt̪ɐ
বলছো,bɔl̪ɔt͡ɕʰo,কইছো,ko͡ɪ̯cʰo,কইরায়,ko͡ɪ̯ɾɐe̯,কইসো,ko͡ɪ̯ʃeɐ,কইছো,ko͡ɪ̯cʰo,হদ্দে,hod̪d̪e
বলতাম,bɔl̪ɔt̪am,কইতাম,ko͡ɪ̯t̪ɐm,মাততাম,mɐt̪t̪ɐm,কইতাম,ko͡ɪ̯t̪ɐm,কইতাম,ko͡ɪ̯t̪ɐm,হইতাম,ho͡ɪ̯t̪ɐm
বলতে,bɔl̪ɔt̪e,কইতে,ko͡ɪ̯t̪e,মাততে,mɐt̪t̪e,কইতে,ko͡ɪ̯t̪e,কইত,ko͡ɪ̯t̪o,বইলতে,bo͡ɪ̯lt̪e
বলতো,bɔl̪ɔt̪o,কইতো,ko͡ɪ̯t̪o,মাত,mɐt̪,কইতো,ko͡ɪ̯t̪o,কতা,kɔt̪ɐ,হইত,ho͡ɪ̯t̪o
বলব,bɔl̪ɔbɔ,কমু?,komu?,খতা,xɔt̪ɐ,কমু,komu?,কইতাম,ko͡ɪ̯t̪ɐm,হয়্যুম,hoʲd̪ʱum
বলবা,bɔl̪ɔba,কবা,kɔbɐ,না,nɐ,কইবা,ko͡ɪ̯bɐ,বলবা,bolbɐ,ন,nɔ
বলবে,bɔl̪ɔbe,কইবে,ko͡ɪ̯be,মাতবায়,mɐt̪bɐe̯,কইবা,ko͡ɪ̯bɐ,লগে,lɔge,হতা,hɔt̪ɐ
বলবে।,bɔl̪ɔbe।,কইবে,ko͡ɪ̯be,কইবো,ko͡ɪ̯bo,কইব,ko͡ɪ̯bo,কইবো,ko͡ɪ̯bo,হইবো,ho͡ɪ̯bo
বলবো,bɔl̪ɔbo,না,nɐ,নায়,nɐe̯,কইতাম,ko͡ɪ̯t̪ɐm,না,nɐ,ন,nɔ
বলল,bɔl̪ɔl̪ɔ,কইলো,ko͡ɪ̯lo,এক,ɛk,কইল,ko͡ɪ̯l,কইলো,ko͡ɪ̯lo,সাইয়েরে,ʃɐ͡ɪ̯ʲeɾe
বললাম,bɔl̪ɔl̪am,কইলাম,ko͡ɪ̯lɐm,কইলাম,ko͡ɪ̯lɐm,কইলাম,ko͡ɪ̯lɐm,কইসিলাম,ko͡ɪ̯sɪlɐm,হইলাম,ho͡ɪ̯lɐm
বললাম,bɔl̪ɔl̪amɔ,কইলাম,ko͡ɪ̯lɐm,কইলাম,ko͡ɪ̯lɐm,কইলাম,ko͡ɪ̯lɐm,কইলাম,ko͡ɪ̯lɐm,হইলাম,ho͡ɪ̯lɐm
বললে,bɔl̪ɔl̪e,কইলে,ko͡ɪ̯le,মাতলে,mɐt̪le,কইলে,ko͡ɪ̯le,কইলে,ko͡ɪ̯le,হইলে,ho͡ɪ̯le
বললেও,bɔl̪ɔl̪eo,কইলেও,ko͡ɪ̯le͡o̯,তাইন,t̪ɐ͡ɪ̯n,কইলেও,ko͡ɪ̯le͡o̯,কইলেও,ko͡ɪ̯le͡o̯,চুপ,cup
বললেন,bɔl̪ɔl̪en̪,কয়,kɔe̯,কইলা,ko͡ɪ̯lɐ,কইলেন,ko͡ɪ̯len,কইলেন,ko͡ɪ̯len,হইলো,ho͡ɪ̯lo
বললেন,bɔl̪ɔl̪en̪ɔ,কইলেন,ko͡ɪ̯len,কুন্তাউ,kunt̪ɐ͡u̯,কইলেন,ko͡ɪ̯len,কইলেন,ko͡ɪ̯len,নো,no
বলা,bɔl̪a,কওয়া,koʷɐ,বলার,bɔlɐɾ,কওন,kɔ͡o̯n,বাকি,bɐkɪ,হয়,hɔe̯
বলার,bɔl̪arɔ,কয়ার,kɔʲɐɾ,বলার,bɔlɐɾ,কওয়ার,koʲɐɾ,কইবার,ko͡ɪ̯bɐɾ,বলার,bɔlɐɾ
বলি,bɔl̪i,কই,ko͡ɪ̯,কইছলাম,ko͡ɪ̯cʰɔlɐm,বলি,bolɪ,কই,ko͡ɪ̯,এক্কা,ɛkkɐ
বলুক,bɔl̪ukɔ,কউক,kɔ͡u̯k,অখটা,ɔxtɐ,কওক,kok,কক,kɔk,খোক,xok
বলুন,bɔl̪un̪,কন,kon,বলুন,bolun,কন,kon,কন,kon,হন,hɔn
বলুন,bɔl̪un̪ɔ,এহন?,ehon?,আমি,ɐmɪ,কন,kon,কন,kon,হন,hɔn
বলে,bɔl̪e,কইয়া,ko͡ɪ̯ʲɐ,আমার,ɐmɐɾ,কথা,kɔt̪ʰɐ,কই,ko͡ɪ̯,হই,ho͡ɪ̯
বলেছি,bɔl̪et͡ɕʰi,কইছি,ko͡ɪ̯cʰɪ,কইছলাম,ko͡ɪ̯cʰɔlɐm,কইসি,ko͡ɪ̯ʃɪ,কইছি,ko͡ɪ̯cʰɪ,হয়্যি,hokɪ
বলেছিল,bɔl̪et͡ɕʰil̪,কইছেলে,ko͡ɪ̯cʰele,কইছলা,ko͡ɪ̯cʰɔlɐ,কইসিন,ko͡ɪ̯ʃɪn,কইছিলো,ko͡ɪ̯cʰɪlo,হইল,ho͡ɪ̯l
বলেছিল,bɔl̪et͡ɕʰil̪ɔ,কইসেলে,ko͡ɪ̯ʃele,কইছলা,ko͡ɪ̯cʰɔlɐ,কইসিল,ko͡ɪ̯sɪl,কৈসিলো,ko͡ɪ̯sɪlo,হইল,ho͡ɪ̯l
বলেছিলও,bɔl̪et͡ɕʰil̪o,কইসেল,ko͡ɪ̯ʃel,কইছলা,ko͡ɪ̯cʰɔlɐ,কইসিল,ko͡ɪ̯sɪl,কৈসিলো,ko͡ɪ̯sɪlo,ত,t̪o
বলেছিলাম,bɔl̪et͡ɕʰil̪amɔ,কইছিলাম,ko͡ɪ̯cʰɪlɐm,কইলাম,ko͡ɪ̯lɐm,কইসিলাম,ko͡ɪ̯sɪlɐm,কইসিলাম,bɪʲɐgɐ,হইয়ি,ho͡ɪ̯ʲɪ
বলেছে,bɔl̪et͡ɕʰe,কইছে,ko͡ɪ̯cʰe,বলেছে,bolecʰe,কইসে,ko͡ɪ̯ʃe,কইসে,ko͡ɪ̯ʃe,হইয়ে,ho͡ɪ̯ʲe
বলেছেন,bɔl̪et͡ɕʰen̪,কইছেন,ko͡ɪ̯cʰen,মাতলা,mɐt̪lɐ,কইসেন,ko͡ɪ̯ʃen,কইছেন,ko͡ɪ̯cʰen,হয়্যুন,hoʲun
বলেন,bɔl̪en̪ɔ,কন,kon,খইন,kʰo͡ɪ̯n,কন,kon,বলেন,bɔlen,হোন,hon
বলেন,bɔl̪en̪,কন,kon,মাতইন,mɐt̪ɪn,কন,kon,কন,kon,হন,hɔn
বলেননি,bɔl̪en̪n̪i,কন,nɐ͡ɪ̯,কইলা,ko͡ɪ̯lɐ,কন,kon,কন,kon,ন,nɔ
বলেনি,bɔl̪en̪i,কয়,kɔe̯,না,nɐ,কয়নাই,kɔʲnɐ͡ɪ̯,ক,k,হতা,hɔt̪ɐ
বলো,bɔl̪o,কও,kɔ͡o̯,কও,kɔ͡o̯,কও,kɔ͡o̯,কথা,kɔt̪ʰɐ,হয়,hɔe̯
বলোনি,bɔl̪on̪i,লইজ্ঞা,lo͡ɪ̯ggɐ,না,nɐ,কও,kɔ͡o̯,কসসো,kɔʃoʃo,ন,nɔ
বশে,bɔɕe,ঠেলায়,tʰelɐe̯,বশে,boʃe,বশে,boʃe,লাই,lɐ͡ɪ̯,ছাদর,cʰɐd̪oɾ
বসছে,bɔs̪ɔt͡ɕʰe,বইতেয়াছেনা,bo͡ɪ̯t̪eʲɐcʰenɐ,মন,mon,বইতাসে,bo͡ɪ̯t̪ɐʃe,বইয়ের,bo͡ɪ̯ʲeɾ,ন,nɔ
বসবা,bɔs̪ɔba,ববা?,bɔbɐ?,বইবায়,bo͡ɪ̯bɐe̯,বইবা,bo͡ɪ̯bɐ,বইবি?,bo͡ɪ̯bɪ?,বইবা,bo͡ɪ̯bɐ
বসবো,bɔs̪ɔbo,বমু,bomu,বইমু,bo͡ɪ̯mu,বয়াম,bɔʲɐm,বইয়ুম,bo͡ɪ̯ʲum,বইসসম,bo͡ɪ̯ʃʃɔm
বসল,bɔs̪ɔl̪ɔ,বইছে,bo͡ɪ̯cʰe,খানিত,kʰɐnɪt̪o,বইল,bo͡ɪ̯l,বইছে,bo͡ɪ̯cʰe,গিয়েরে,gɪʲeɾe
বসায়ে,bɔs̪ae̯e,বহাইয়া,bɔhɐ͡ɪ̯ʲɐ,বওয়াইয়া,boʷɐ͡ɪ̯ʲɐ,বহায়া,bɔhɐʲɐ,বইয়াই,bo͡ɪ̯ʲɐ͡ɪ̯,বাসাত,bɐʃɐt̪
বসি,bɔs̪i,বই,bo͡ɪ̯,বই,bo͡ɪ̯,বই,bo͡ɪ̯,বই,bo͡ɪ̯,বইসসি,bo͡ɪ̯ssɪ
বসুন,bɔs̪un̪,বহেন,bɔhen,বইন,bo͡ɪ̯n,বসেন,boʃen,বইয়েন,bo͡ɪ̯ʲen,বয়্যুন,boʲun
বসে,bɔs̪e,বয়,bɔe̯,বয়,bɔe̯,বয়া,bɔʲɐ,বই,bo͡ɪ̯,ফন্না,fɔnnɐ
বসে?,bɔs̪e?,বইয়া,bo͡ɪ̯ʲɐ,বইয়া,bo͡ɪ̯ʲɐ,বয়া?,bɔʲɐ?,বই?,bo͡ɪ̯?,বইয়েরে,bo͡ɪ̯ʲeɾe
বহন,bɔhɔn̪ɔ,বহন,bɔhon,চালাইন,cɐlɐ͡ɪ̯n,বহন,bɔhon,বহন,bɔhon,চালায়দে,cɐlɐʲd̪e
বহুকালের,bɔhukal̪erɔ,বহুকালের,bohukɐleɾ,বউতকাল,bɔ͡u̯t̪ɔkɐl,মেলাকালের,melɐkɐleɾ,বহুকালের,bohukɐleɾ,বহুকালোর,bohukɐloɾ
বহুদিন,bɔhud̪in̪ɔ,ম্যালাদিন,mɛlɐd̪ɪn,বাক্কাদিন,bɐkkɐd̪ɪn,মেলাদিন,pɔɾe,মেলা,mɛlɐ,বউদ্দিন,bɔ͡u̯d̪d̪ɪn
বাঁচতে,bɔ̃t͡ɕɔt̪e,বাঁচতে,bɐ̃ct̪e,বাঁচতে,bɐ̃ct̪e,বাঁচতে,bɐ̃ct̪e,বাইচতে,bɐ͡ɪ̯ct̪e,নে,ne
বাঁচার,bɔ̃t͡ɕarɔ,বাচার,bɐcɐɾ,বাঁচার,bɐ̃cɐɾ,বাঁচার,bɐ̃cɐɾ,বাইচবার,bɐ͡ɪ̯cbɐɾ,দিউম,d̪ɪ͡u̯m
বাঁচুন,bɔ̃t͡ɕun̪,বাচেন,bɐcen,বাচইন,bɐco͡ɪ̯n,বাঁচেন,bɐ̃cen,বাঁচেন,bɐ̃cen,বাসন,bɐʃon
বাঁচে,bɔ̃t͡ɕe,বাচে,bɐce,বাচে,bɐce,বাঁচে,bɐ̃ce,বাচে,bɐce,ন,nɔ
বাঁধার,bɔ̃d̪̤arɔ,বাঁধার,ʃɐmne,বাঁধার,bɐ̃d̪ʱɐɾ,বাঁধার,bɐ̃d̪ʱɐɾ,কিছুর,kɪcʰuɾ,বউত,bɐ̃d̪ɐɾ
বাংলা,baŋl̪a,বাংলা,bɐŋlɐ,বাংলা,bɐŋlɐ,বাংলা,bɐŋlɐ,বাংলা,bɐŋlɐ,বাংলা,bɐŋlɐ
বাংলাদেশ,baŋl̪ad̪eɕɔ,বাংলাদেশ,bɐŋlɐd̪eʃ,বাংলাদেশ,bɐŋlɐd̪eʃ,বাংলাদেশ,bɐŋlɐd̪eʃ,আই,ɐ͡ɪ̯,বাংলাদেশ,bɐŋlɐd̪eʃ
বাংলাদেশকে,baŋl̪ad̪eɕke,বাংলাদেশরে,bɐŋlɐd̪eʃɾe,বাংলাদেশরে,bɐŋlɐd̪eʃɾe,বাংলাদেশরে,bɐŋlɐd̪eʃɾe,এ,e,অত,ɔt̪o
বাংলাদেশি,baŋl̪ad̪eɕi,বাংলাদেশি,bɐŋlɐd̪eʃɪ,বাংলাদেশি,bɐŋlɐd̪eʃɪ,বাংলাদেশি,bɐŋlɐd̪eʃɪ,অনুভব,onubʱɔb,বাংলাদেশি,bɐŋlɐd̪eʃɪ
বাংলাদেশী,baŋl̪ad̪eɕi,বাংলাদেশি,bɐŋlɐd̪eʃɪ,বাংলাদেশী,bɐŋlɐd̪eʃɪ,বাংলাদেশী,bɐŋlɐd̪eʃɪ,বাংলাদেশী,bɐŋlɐd̪eʃɪ,বাংলাদেশী,bɐŋlɐd̪eʃɪ
বাংলাদেশে,baŋl̪ad̪eɕe,বাংলাদেশে,bɐŋlɐd̪eʃe,বাংলাদেশে,bɐŋlɐd̪eʃe,বাংলাদেশে,bɐŋlɐd̪eʃe,বাংলাদেশে,bɐŋlɐd̪eʃe,বাংলাদেশত,bɐŋlɐd̪eʃt̪ɔ
বাংলাদেশের,baŋl̪ad̪eɕerɔ,বাংলাদেশের,bɐŋlɐd̪eʃeɾ,বাংলাদেশর,bɐŋlɐd̪eʃɔɾ,বাংলাদেশের,bɐŋlɐd̪eʃeɾ,বাংলাদেশ,bɐŋlɐd̪eʃ,বাংলাদেশঅর,bɐŋlɐd̪eʃɔɾ
বাংলায়,baŋl̪ae̯ɔ,বাংলায়,bɐŋlɐe̯,বাংলায়,bɐŋlɐe̯,বাংলায়,bɐŋlɐe̯,বাংলায়,bɐŋlɐe̯,বাংলাত,bɐŋlɐt̪
বাইরে,baire,বায়রায়,bɐʲɾɐe̯,ফুয়া,fuʲɐ,ছেড়া,cʰeɽɐ,হোলা,holɐ,বাইরে,bɐ͡ɪ̯ɾe
বাকি,baki,বাকি,bɐkɪ,বাকি,bɐkɪ,বাকি,bɐkɪ,বাকি,bɐkɪ,বাকি,bɐkɪ
বাগান,baɡan̪ɔ,বাগান,bɐgɐn,বাগান,bɐgɐn,বাগান,bɐgɐn,বাগান,bɐgɐn,ফোয়ারা,foʷɐɾɐ
বাগানে,baɡan̪e,বাগে,bɐge,বাগানো,bɐgɐno,বাগানে,bɐgɐne,বাগানে,bɐgɐne,বাগানোত,bɐgɐnot̪o
বাগানের,baɡan̪erɔ,বাগের,bɐgeɾ,বাগানোর,bɐgɐnoɾ,বাগানের,bɐgɐneɾ,বাগানেত্তে,bɐgɐnet̪t̪e,বাগানোত,bɐgɐnot̪o
বাঙালির,baŋal̪irɔ,বাঙ্গালির,bɐŋgɐlɪɾ,বাঙালির,bɐŋɐlɪɾ,বাঙালির,bɐŋɐlɪɾ,বাঙালির,bɐŋɐlɪɾ,বাঙালি,bɐŋɐlɪ
বাচঁতে,bat͡ɕɔঁt̪e,হয়,hɔe̯,বাচতাম,bɐct̪ɐm,বাচঁতে,bɐc̃t̪e,বাইচতাম,bɐ͡ɪ̯ct̪ɐm,ন,nɔ
বাচ্চা,bat͡ɕt͡ɕa,আছে,ɐcʰe,আছে,ɐcʰe,বাচ্চা,bɐccɐ,আসে,ɐʃe,বাইচ্চা,bɐ͡ɪ̯ccɐ
বাচ্চাকে,bat͡ɕt͡ɕake,গেদুডারে,ged̪udɐɾe,বাইচ্চাগুরে,bɐ͡ɪ̯ccɐguɾe,বাচ্চারে,bɐccɐɾe,বাচ্চাগারে,bɐccɐgɐɾe,ফোয়াওয়ারে,foʷɐ͡o̯ʷɐɾe
বাচ্চাটি,bat͡ɕt͡ɕati,গেদুডা,ged̪udɐ,বাচ্চাটা,bɐccɐtɐ,বাচ্চাডা,bɐccɐdɐ,বাইচ্ছা,bɐ͡ɪ̯ccʰɐ,বাইচ্চা,bɐ͡ɪ̯ccɐ
বাচ্চার,bat͡ɕt͡ɕarɔ,গেদুর,ged̪uɾ,বাচ্চার,bɐccɐɾ,বাচ্চার,bɐccɐɾ,আই,ɐ͡ɪ̯,বাইচ্চার,bɐ͡ɪ̯ccɐɾ
বাচ্চারা,bat͡ɕt͡ɕara,গেদুরা,ged̪uɾɐ,গাউর,gɐ͡u̯ɾ,বাচ্চারা,bɐccɐɾɐ,বাইচ্চারা,bɐ͡ɪ̯ccɐɾɐ,বাইচ্ছা,bɐ͡ɪ̯ccʰɐ
বাজাচ্ছে,bad͡ʑat͡ɕt͡ɕʰe,বাজাইতেয়াছে,bɐɟɐ͡ɪ̯t̪eʲɐcʰe,বাজাইরো,bɐzɐ͡ɪ̯ɾo,বাজাইতাসে,bɐɟɐ͡ɪ̯t̪ɐʃe,বাজার,bɐzɐɾ,বাজার,bɐzɐɾ
বাজার,bad͡ʑarɔ,বাজারে,bɐɟɐɾe,বাজার,bɐɟɐɾ,বাজার,bɐɟɐɾ,বাজারেত্তুন,bɐzɐɾet̪t̪un,বাজারত্তুন,bɐzɐɾɔt̪t̪un
বাজারে,bad͡ʑare,বাজারে,bɐɟɐɾe,বাজারে,bɐɟɐɾe,বাজারে,bɐɟɐɾe,বাজারে,bɐɟɐɾe,বাজারত,bɐzɐɾɔt̪o
বাজারেই,bad͡ʑarei,বাজারেই,bɐɟɐɾe͡ɪ̯,বাজারো,bɐɟɐɾo,বাজারেই,bɐɟɐɾe͡ɪ̯,বাজারেই,bɐɟɐɾe͡ɪ̯,বাজারত,bɐzɐɾɔt̪o
বাজে,bad͡ʑe,খারাপ,kʰɐɾɐp,ফুয়ার,pʰuʲɐɾ,ছেড়ার,cʰeɽɐɾ,হোলার,holɐɾ,বাযে,bɐze
বাজে?,bad͡ʑe?,বাজে?,bɐɟe?,কয়তা?,kɔʲt̪ɐ?,বাজে?,bɐɟe?,বাজে,bɐɟe,বাযের,bɐzeɾ
বাড়ছে,baɽt͡ɕʰe,বাড়তেয়াছে,bɐɽt̪eʲɐcʰe,আরো,ɐɾo,বাড়সে,bɐɽoʃe,বাইড়ছে,bɐ͡ɪ̯ɽcʰe,বারি,bɐɾɪ
বাড়তে,baɽt̪e,বাড়তেই,bɐɽt̪e͡ɪ̯,বাড়তেউ,bɐɽt̪e͡u̯,বাড়তে,bɐɽt̪e,অশান্তি,ɔʃɐnt̪ɪ,বাড়াত,bɐɽɐt̪
বাড়ি,baɽi,বাড়ি,bɐɽɪ,ওর,oɾ,বাড়ি,bɐɽɪ,ব্যাই,bɛ͡ɪ̯,গর,gɔɾ
বাড়িতে,baɽit̪e,বাড়িতে,bɐɽɪt̪e,বাড়িত,bɐɽɪt̪o,বাড়িত,bɐɽɪt̪o,ব্যাইত,bɛ͡ɪ̯t̪o,গরোত,gɔɾot̪
বাড়ির,baɽirɔ,বাড়ির,bɐɽɪɾ,বাড়ির,bɐɽɪɾ,বাড়ির,bɐɽɪɾ,বাড়ির,bɐɽɪɾ,বাড়ির,bɐɽɪɾ
বাথরুমে,bat̪ʰrume,বাথরুমে,bɐt̪ʰɾume,বাথরুমে,bɐt̪ʰɾume,লেট্রিনে,letɾɪne,লেপটিনে,leptɪne,বাতরুম,bɐt̪ɾum
বাদ,bad̪ɔ,বাদ,bɐd̪,বাদ,bɐd̪,বাদ,bɐd̪,বাদ,bɐd̪,আজিয়া,ɐzɪʲɐ
বাদামী,bad̪ami,বাদামী,bɐd̪ɐmɪ,বাদামি,bɐd̪ɐmɪ,বাদামী,bɐd̪ɐmɪ,বাদামী,bɐd̪ɐmɪ,বাদামী,bɐd̪ɐmɪ
বাদে,bad̪e,থুইয়া,t̪ʰu͡ɪ̯ʲɐ,বাদে,bɐd̪e,বাদে,bɐd̪e,বাদে,bɐd̪e,ফরে,fɔɾe
বাধা,bad̪̤a,বাধা,bɐd̪ʱɐ,বাঁধা,bɐ̃d̪ʱɐ,বাধা,bɐd̪ʱɐ,বাধা,bɐd̪ʱɐ,বাঁদা,bɐ̃d̪ɐ
বাধাকে,bad̪̤ake,বাধা,bɐd̪ʱɐ,বাধারে,bɐd̪ʱɐɾe,বাধারে,bɐd̪ʱɐɾe,বাধারে,bɐd̪ʱɐɾe,বাধা,bɐd̪ʱɐ
